Taille,Tri Par Selection,Tri par Insertion,Tri par fusion,Tri rapide,Tri par tas
69,0.0,0.0,0.0,0.0,0.0
70,0.0009996891021728516,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0011441707611083984,0.0
73,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0009493827819824219,0.0,0.0
75,0.0,0.0,0.0,0.0009765625,0.0
76,0.0,0.0,0.0,0.0009913444519042969,0.0009360313415527344
77,0.0,0.0,0.0,0.0011739730834960938,0.0
78,0.0,0.0,0.0,0.0,0.0009102821350097656
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.00106048583984375,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0010135173797607422,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0009579658508300781,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0009684562683105469,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0010743141174316406,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0010025501251220703,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0009975433349609375
91,0.0,0.0,0.0,0.0,0.0
92,0.0010013580322265625,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0010008811950683594,0.0
94,0.0,0.0,0.0,0.0,0.0009982585906982422
95,0.0,0.0,0.0,0.0,0.0008456707000732422
96,0.0,0.0,0.0,0.001100778579711914,0.0
97,0.0,0.0,0.0,0.0009889602661132812,0.0
98,0.0,0.0,0.0010151863098144531,0.0,0.0
99,0.0010006427764892578,0.0,0.0,0.0,0.0
100,0.001008749008178711,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.000997781753540039,0.0
102,0.0,0.0,0.0,0.0009543895721435547,0.0
103,0.0,0.0,0.001062631607055664,0.0,0.0
104,0.0,0.0,0.0009281635284423828,0.0,0.0
105,0.0009398460388183594,0.0,0.0,0.0,0.0
106,0.0009987354278564453,0.0,0.0,0.0,0.0
107,0.0010678768157958984,0.0,0.0,0.0,0.0
108,0.0009989738464355469,0.0,0.0,0.0,0.0
109,0.0009946823120117188,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0,0.0
111,0.00106048583984375,0.0,0.0,0.0,0.0008919239044189453
112,0.0,0.0,0.0,0.001064300537109375,0.0
113,0.0011000633239746094,0.0,0.0,0.0009064674377441406,0.0
114,0.0,0.0,0.0009751319885253906,0.0,0.0
115,0.001073598861694336,0.0,0.0,0.0,0.0009493827819824219
116,0.0,0.0,0.0,0.0009846687316894531,0.0
117,0.0,0.0,0.0,0.0009927749633789062,0.0
118,0.0009725093841552734,0.0,0.0,0.0,0.0009646415710449219
119,0.0,0.0,0.0,0.0,0.0010905265808105469
120,0.0,0.0,0.0,0.0009720325469970703,0.0
121,0.0,0.0,0.0,0.0010917186737060547,0.0
122,0.0,0.0,0.0008435249328613281,0.0,0.0
123,0.0011751651763916016,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0010709762573242188,0.0
125,0.0008459091186523438,0.0,0.0,0.0010743141174316406,0.0
126,0.0,0.0010313987731933594,0.0,0.0,0.0008857250213623047
127,0.0,0.0,0.0010833740234375,0.0,0.0
128,0.0010983943939208984,0.0,0.0,0.0,0.0009737014770507812
129,0.0,0.0,0.0,0.0010056495666503906,0.0
130,0.0,0.0,0.0009024143218994141,0.0,0.0
131,0.0010044574737548828,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0009114742279052734,0.0
133,0.0,0.0,0.0,0.001058340072631836,0.0
134,0.0009930133819580078,0.0,0.0,0.0,0.0010075569152832031
135,0.0,0.0,0.0,0.0009441375732421875,0.0
136,0.0,0.0,0.0009806156158447266,0.0019991397857666016,0.0
137,0.0,0.0,0.0,0.0010571479797363281,0.0
138,0.0,0.0,0.0,0.000989675521850586,0.0
139,0.0,0.0010728836059570312,0.0,0.0,0.0008466243743896484
140,0.0,0.0,0.0,0.0010612010955810547,0.0
141,0.0,0.0,0.0,0.0,0.001043558120727539
142,0.0,0.0,0.0,0.0010001659393310547,0.0
143,0.0,0.0,0.001001596450805664,0.0,0.0
144,0.0,0.0,0.0,0.0018892288208007812,0.0010142326354980469
145,0.0009982585906982422,0.0,0.0010614395141601562,0.0019872188568115234,0.0
146,0.0,0.0,0.0,0.0010867118835449219,0.0009255409240722656
147,0.0,0.0,0.0009872913360595703,0.0,0.0010187625885009766
148,0.0,0.0,0.0,0.001035451889038086,0.0
149,0.0,0.0,0.0009984970092773438,0.0009963512420654297,0.0
150,0.0,0.0,0.0,0.0009984970092773438,0.0
151,0.0009591579437255859,0.0,0.0,0.0010335445404052734,0.0009512901306152344
152,0.0010213851928710938,0.0,0.0,0.003001689910888672,0.0
153,0.0009794235229492188,0.0,0.0,0.0010199546813964844,0.0
